lea_code,lea_name
1,Barrington
3,Burrillville
4,Central Falls
6,Coventry
7,Cranston
8,Cumberland
9,East Greenwich
10,East Providence
12,Foster
13,Glocester
15,Jamestown
16,Johnston
17,Lincoln
18,Little Compton
19,Middletown
20,Narragansett
21,Newport
22,New Shoreham
23,North Kingstown
24,North Providence
25,North Smithfield
26,Pawtucket
27,Portsmouth
28,Providence
30,Scituate
31,Smithfield
32,South Kingstown
33,Tiverton
35,Warwick
36,Westerly
38,West Warwick
39,Woonsocket
40,Davies Career and Tech
41,Achievement First Rhode Island
42,Sheila Skip Nowell Leadership Academy
43,SouthSide Charter School
46,Segue Institute for Learning
47,Blackstone Valley Prep
48,Highlander
49,Urban Collaborative
50,R.I. Sch for the Deaf
51,Paul Cuffee Charter Sch
52,Kingston Hill Academy
53,International Charter
54,Blackstone Academy
55,The Compass School
58,Beacon Charter School
59,Learning Community
60,MET Career and Tech
61,Trinity Academy for the Performing Arts
62,The Greene School
63,Rhode Island Nurses Institute Middle College
64,Village Green Virtual
66,Dept of Corrections
67,DCYF
68,The Hope Academy
76,West Bay Collaborative
95,NonPublic School
96,Bristol Warren
97,Exeter-West Greenwich
98,Chariho
99,Foster-Glocester
